,course_href,course_name,partner_title,stars,recent_views,num_ratings,num_reviews,description,outcome,highlight,length
10,/learn/clinical-data-management,Data Management for Clinical Research,Vanderbilt University,4.7,"94,363 recent views",997 ratings,317,"This course presents critical concepts and practical methods to support planning, collection, storage, and dissemination of data in clinical research.Understanding and implementing solid data management principles is critical for any scientific domain. Regardless of your current (or anticipated) role in the research enterprise, a strong working knowledge and skill set in data management principles and practice will increase your productivity and improve your science. Our goal is to use these modules to help you learn and practice this skill set. 

This course assumes very little current knowledge of technology other than how to operate a web browser. We will focus on practical lessons, short quizzes, and hands-on exercises as we explore together best practices for data management.","['28%got a tangible career benefit from this course', '17%got a pay increase or promotion', '32%started a new career after completing these courses']","['100% online', 'Shareable Certificate', 'Flexible deadlines', 'English']",Approx. 17 hours to complete
11,/learn/experimentation,Experimentation for Improvement,McMaster University,4.8,"17,688 recent views",783 ratings,207,"We are always using experiments to improve our lives, our community, and our work. Are you doing it efficiently? Or are you (incorrectly) changing one thing at a time and hoping for the best? In this course, you will learn how to plan efficient experiments - testing with many variables. Our goal is to find the best results using only a few experiments. A key part of the course is how to optimize a system.

We use simple tools: starting with fast calculations by hand, then we show how to use FREE software. 

The course comes with slides, transcripts of all lectures, subtitles (English, Spanish and Portuguese; some Chinese and French), videos, audio files, source code, and a free textbook. You get to keep all of it, all freely downloadable.

This course is for anyone working in a company, or wanting to make changes to their life, their community, their neighbourhood. You don't need to be a statistician or scientist! There's something for everyone in here. 
⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯
Over 1500 people have completed this online course. What have prior students said about this course?

""This definitely is one of the most fruitful courses I have participated at Coursera, considering the takeaways and implementations! And so far I finished 12 [courses].""

""Excelente curso, flexible y con suficiente material didáctico fácilmente digerible y cómodo. No importa si se tiene pocas bases matemáticas o estadísticas, el curso proporciona casi toda explicación necesaria para un entendimiento alto.""

""I wish I had enrolled in your course years ago -- it would have saved us a lot of time in optimizing experimental conditions."" Jason Eriksen, 3 Jan 2017

""Interesting and developing both analytical and creative thinking. The lecturer took care to bring lots of real live examples which are fun to analyze."" 20 February 2016.

""... love your style of presentation, and the examples you took from everyday life to explain things. It is very difficult to make such a mathematical course accessible and comprehensible to this wide a variety of people!""
⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯⎯","['11%started a new career after completing these courses', '14%got a tangible career benefit from this course']","['100% online', 'Shareable Certificate', 'Flexible deadlines', 'English']",Approx. 13 hours to complete
12,/learn/computer-simulations,Computer Simulations,"University of California, Davis",4.7,"9,628 recent views",38 ratings,10,"Big data and artificial intelligence get most of the press about computational social science, but maybe the most complex aspect of it refers to using computational tools to explore and develop social science theory. This course shows how computer simulations are being used to explore the realm of what is theoretically possible. Computer simulations allow us to study why societies are the way they are, and to dream about the world we would like to live in. This can be as intuitive as playing a video game. Much like the well-known video game SimCity is used to build and manage an artificial city, we use agent-based models to grow and study artificial societies. Without hurting anyone in the real world, computer simulations allow us explore how to make the world a better place. We play hands-on with several practical computer simulation models and explore how we can combine hypothetical models with real world data. Finally, you will program a simple artificial society yourself, bottom-up. This will allow you to feel the complexity that arises when designing social systems, while at the same time experiencing the ease with which our new computational tools allow us to pursue such daunting endeavors.",[],"['English', 'Shareable Certificate', 'Course 4 of 5 in the', 'Flexible deadlines', '100% online']",Approx. 13 hours to complete
13,/learn/sas-programming-basics,Getting Started with SAS Programming,SAS,4.8,"191,893 recent views","1,811 ratings",403,"This course is for users who want to learn how to write SAS programs to access, explore, prepare, and analyze data. It is the entry point to learning SAS programming for data science, machine learning, and artificial intelligence. It is a prerequisite to many other SAS courses.By the end of this course, you will know how to use SAS Studio to write and submit SAS programs that access SAS, Microsoft Excel, and text data. You will know how to explore and validate data, prepare data by subsetting rows and computing new columns, analyze and report on data, export data and results to other formats, use SQL in SAS to query and join tables.

Prerequisites:
Learners should have experience using computer software. Specifically, you should be able to understand file structures and system commands on your operating systems and access data files on your operating systems. No prior SAS experience is needed.","['18%started a new career after completing these courses', '14%got a pay increase or promotion', '25%got a tangible career benefit from this course']","['100% online', 'Shareable Certificate', 'Flexible deadlines', 'English']",Approx. 22 hours to complete
14,/learn/excel-data-analysis-fundamentals,Excel Fundamentals for Data Analysis,Macquarie University,4.7,"268,211 recent views",941 ratings,243,"As data becomes the modern currency, so the ability to analyse the data quickly and accurately has become of paramount importance. Excel with its extraordinarily broad range of features and capabilities is one of the most widely used programs for doing this. In the first course of our Excel Skills for Data Analysis and Visualization Specialization, you will learn the fundamentals of Excel for data analysis. When you have completed the course, you will be able to use a range of Excel tools and functions to clean and prepare data for analysis; automate data analysis with the help of Named Ranges and Tables; and use logical and lookup functions to transform, link and categorise data.This course will enable you to build a strong foundation in the fundamentals, helping you to be more efficient in your day-to-day and developing the necessary skills to work with the more advanced techniques used in later courses. To make the content easy to relate to and to personalize the learning experience, we are going to follow Zara's journey through the course. Who is Zara? Well, she is no-one and everyone. You will find that Zara's trials and tribulations sound familiar, and together with Zara, you will develop your Excel skills along the way — and, importantly, have some fun doing it.

The Excel Skills for Data Analytics and Visualization courses are the sequel to one of most successful specializations on Coursera, Excel Skills for Business, which has attracted hundreds of thousands of learners and top ratings. Transform your skills, your confidence, and your opportunities by adding this new set of skills to your repertoire.",[],"['English', 'Shareable Certificate', 'Flexible deadlines', 'Course 1 of 3 in the', '100% online']",Approx. 15 hours to complete
15,/learn/wharton-customer-analytics,Customer Analytics,University of Pennsylvania,4.6,"146,302 recent views","10,076 ratings",2225,"Data about our browsing and buying patterns are everywhere.  From credit card transactions and online shopping carts, to customer loyalty programs and user-generated ratings/reviews, there is a staggering amount of data that can be used to describe our past buying behaviors, predict future ones, and prescribe new ways to influence future purchasing decisions. In this course, four of Wharton’s top marketing professors will provide an overview of key areas of customer analytics: descriptive analytics, predictive analytics, prescriptive analytics, and their application to real-world business practices including Amazon, Google, and Starbucks to name a few. This course provides an overview of the field of analytics so that you can make informed business decisions. It is an introduction to the theory of customer analytics, and is not intended to prepare learners to perform customer analytics. Course Learning Outcomes: 

After completing the course learners will be able to...

Describe the major methods of customer data collection used by companies and understand how this data can inform business decisions

Describe the main tools used to predict customer behavior and identify the appropriate uses for each tool 

Communicate key ideas about customer analytics and how the field informs business decisions

Communicate the history of customer analytics and latest best practices at top firms","['28%got a tangible career benefit from this course', '28%started a new career after completing these courses']","['English', 'Shareable Certificate', 'Course 1 of 5 in the', 'Flexible deadlines', '100% online']",Approx. 12 hours to complete
16,/learn/data-science-methodology,Data Science Methodology,IBM,4.6,"319,900 recent views","15,889 ratings",1896,"Despite the recent increase in computing power and access to data over the last couple of decades, our ability to use the data within the decision making process is either lost or not maximized at all too often, we don't have a solid understanding of the questions being asked and how to apply the data correctly to the problem at hand.This course has one purpose, and that is to share a methodology that can be used within data science, to ensure that the data used in problem solving is relevant and properly manipulated to address the question at hand.

Accordingly, in this course, you will learn:
    - The major steps involved in tackling a data science problem.
    - The major steps involved in practicing data science, from forming a concrete business or research problem, to collecting and analyzing data, to building a model, and understanding the feedback after model deployment.
    - How data scientists think!

LIMITED TIME OFFER: Subscription is only $39 USD per month for access to graded materials and a certificate.","['10%got a pay increase or promotion', '32%got a tangible career benefit from this course', '30%started a new career after completing these courses']","['100% online', 'Shareable Certificate', 'Flexible deadlines', 'English']",Approx. 10 hours to complete
17,/learn/managing-describing-analyzing-data,"Managing, Describing, and Analyzing Data",University of Colorado Boulder,4.2,"15,533 recent views",9 ratings,4,"In this course, you will learn the basics of understanding the data you have and why correctly classifying data is the first step to making correct decisions. You will describe data both graphically and numerically using descriptive statistics and R software. You will learn four probability distributions commonly used in the analysis of data. You will analyze data sets using the appropriate probability distribution. Finally, you will learn the basics of sampling error, sampling distributions, and errors in decision-making.This course can be taken for academic credit as part of CU Boulder’s Master of Science in Data Science (MS-DS) degree offered on the Coursera platform. The MS-DS is an interdisciplinary degree that brings together faculty from CU Boulder’s departments of Applied Mathematics, Computer Science, Information Science, and others. With performance-based admissions and no application process, the MS-DS is ideal for individuals with a broad range of undergraduate education and/or professional experience in computer science, information science, mathematics, and statistics. Learn more about the MS-DS program at https://www.coursera.org/degrees/master-of-science-data-science-boulder.",[],"['English', 'Shareable Certificate', 'Beginner Level', 'Flexible deadlines', '100% online']",Approx. 12 hours to complete
18,/learn/rpa-introduction,"RPA Lifecycle: Introduction, Discovery and Design",Automation Anywhere,4.6,"15,785 recent views",391 ratings,85,"Regardless of the industry, business process automation is here to stay. Business processes are increasingly being automated through software automation. But how is software automation simplified and made accessible? The answer is Robotic Process Automation or RPA.RPA lifecycle: Intrdocution, Discovery and Design is the first course of the Specialization on Implementing RPA with Cognitive Solutions and Analytics.

In this course, you will be introduced to RPA and see how it is combined with cognitive solutions and analytics to enable organizations to adopt the model of a “Digital Workforce” and help them transform the nature of their work.
You will also learn about the first two phases of the RPA implementation lifecycle: Discovery and Design. In the Discovery phase, you take a set of business processes and identify those that are suitable and beneficial for automation.  In the Design phase, you create a plan for your RPA project. The learning will be reinforced through concept description and guided practice.",[],"['English', 'Shareable Certificate', 'Course 1 of 4 in the', 'Flexible deadlines', '100% online']",Approx. 5 hours to complete
19,/learn/demand-analytics,Demand Analytics,Rutgers the State University of New Jersey,4.4,"19,622 recent views",120 ratings,25,"Welcome to Demand Analytics - one of the most sought-after skills in supply chain management and marketing!Through the real-life story and data of a leading cookware manufacturer in North America, you will learn the data analytics skills for demand planning and forecasting. Upon the completion of this course, you will be able to  

1. Improve the forecasting accuracy by building and validating demand prediction models. 
2. Better stimulate and influence demand by identifying the drivers (e.g., time, seasonality, price, and other environmental factors) for demand and quantifying their impact.

AK is a leading cookware manufacturer in North America. Its newly launched top-line product was gaining momentum in the marketplace. However, a price adjustment at the peak season stimulated a significant demand surge which took AK completely by surprise and resulted in huge backorders. AK faced the risk of losing the market momentum due to the upset customers and the high cost associated with over-time production and expedited shipping. Accurate demand forecast is essential for increasing revenue and reducing cost. Identifying the drivers for demand and assessing their impact on demand can help companies better influence and stimulate demand.

I hope you enjoy the course!",[],"['English', 'Course 3 of 5 in the', 'Shareable Certificate', 'Flexible deadlines', '100% online']",Approx. 9 hours to complete
20,/learn/python-representation,Python Data Representations,Rice University,4.7,"17,590 recent views",990 ratings,165,"This course will continue the introduction to Python programming that started with Python Programming Essentials.  We'll learn about different data representations, including strings, lists, and tuples, that form the core of all Python programs.  We will also teach you how to access files, which will allow you to store and retrieve data within your programs. These concepts and skills will help you to manipulate data and write more complex Python programs.By the end of the course, you will be able to write Python programs that can manipulate data stored in files.  This will extend your Python programming expertise, enabling you to write a wide range of scripts using Python

This course uses Python 3.  While most Python programs continue to use Python 2, Python 3 is the future of the Python programming language. This course introduces basic desktop Python development environments, allowing you to run Python programs directly on your computer. This choice enables a smooth transition from online development environments.","['29%got a tangible career benefit from this course', '20%started a new career after completing these courses']","['English', 'Course 2 of 4 in the', 'Shareable Certificate', 'Flexible deadlines', '100% online']",Approx. 9 hours to complete
21,/learn/que-es-la-ciencia-de-datos,¿Qué es la ciencia de datos?,IBM,4.6,"7,721 recent views",37 ratings,13,"El arte de descubrir los conocimientos y las tendencias de los datos ha existido desde la antigüedad. Los antiguos egipcios usaron datos del censo para aumentar la eficiencia en la recaudación de impuestos y predijeron con precisión la inundación del río Nilo cada año. Desde entonces, las personas que trabajan en ciencia de datos han creado un campo único y distinto para el trabajo que realizan. Este campo es ciencia de datos. En este curso, conoceremos a algunos profesionales de la ciencia de datos y obtendremos una visión general de lo que es hoy la ciencia de datos.",[],"['100% online', 'Shareable Certificate', 'Flexible deadlines', 'Spanish']",Approx. 8 hours to complete
22,/learn/python-data-analysis,Introduction to Data Science in Python,University of Michigan,4.5,"696,169 recent views","23,651 ratings",5311,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses. This course should be taken before any of the other Applied Data Science with Python courses: Applied Plotting, Charting & Data Representation in Python, Applied Machine Learning in Python, Applied Text Mining in Python, Applied Social Network Analysis in Python.","['13%got a pay increase or promotion', '27%started a new career after completing these courses', '31%got a tangible career benefit from this course']","['English', 'Shareable Certificate', 'Course 1 of 5 in the', 'Flexible deadlines', '100% online']",Approx. 30 hours to complete
23,/learn/ntumlone-mathematicalfoundations,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,National Taiwan University,4.9,"25,755 recent views",812 ratings,150,"Machine learning is the study that allows computers to adaptively improve their performance with experience accumulated from the data observed. Our two sister courses teach the most fundamental algorithmic, theoretical and practical tools that any user of machine learning needs to know. This first course of the two would focus more on mathematical tools, and the other course would focus more on algorithmic tools. [機器學習旨在讓電腦能由資料中累積的經驗來自我進步。我們的兩項姊妹課程將介紹各領域中的機器學習使用者都應該知道的基礎演算法、理論及實務工具。本課程將較為著重數學類的工具，而另一課程將較為著重方法類的工具。]","['29%started a new career after completing these courses', '43%got a tangible career benefit from this course', '36%got a pay increase or promotion']","['100% online', 'Shareable Certificate', 'Flexible deadlines', 'Chinese (Traditional)']",Approx. 10 hours to complete
24,/learn/data-analytics-accountancy-2,Data Analytics Foundations for Accountancy II,University of Illinois at Urbana-Champaign,4.8,"2,271 recent views",8 ratings,1,"Welcome to Data Analytics Foundations for Accountancy II!  I'm excited to have you in the class and look forward to your contributions to the learning community.To begin, I recommend taking a few minutes to explore the course site. Review the material we’ll cover each week, and preview the assignments you’ll need to complete to pass the course. Click Discussions to see forums where you can discuss the course material with fellow students taking the class.

If you have questions about course content, please post them in the forums to get help from others in the course community. For technical problems with the Coursera platform, visit the Learner Help Center.

Good luck as you get started, and I hope you enjoy the course!",[],"['100% online', 'Shareable Certificate', 'Flexible deadlines', 'English']",Approx. 70 hours to complete
25,/learn/descriptive-statistics-statistical-distributions-business-application,"Basic Data Descriptors, Statistical Distributions, and Application to Business Decisions",Rice University,4.7,"68,685 recent views","1,959 ratings",329,"The ability to understand and apply Business Statistics is becoming increasingly important in the industry. A good understanding of Business Statistics is a requirement to make correct and relevant interpretations of data. Lack of knowledge could lead to erroneous decisions which could potentially have negative consequences for a firm. This course is designed to introduce you to Business Statistics. We begin with the notion of descriptive statistics, which is summarizing data using a few numbers. Different categories of descriptive measures are introduced and discussed along with the Excel functions to calculate them. The notion of probability or uncertainty is introduced along with the concept of a sample and population data using relevant business examples. This leads us to various statistical distributions along with their Excel functions which are then used to model or approximate business processes. You get to apply these descriptive measures of data and various statistical distributions using easy-to-follow Excel based examples which are demonstrated throughout the course.To successfully complete course assignments, students must have access to Microsoft Excel. 
________________________________________
WEEK 1
Module 1: Basic Data Descriptors
In this module you will get to understand, calculate and interpret various descriptive or summary measures of data. These descriptive measures summarize and present data using a few numbers. Appropriate Excel functions to do these calculations are introduced and demonstrated.

Topics covered include:
•	Categories of descriptive data
•	Measures of central tendency, the mean, median, mode, and their interpretations and calculations
•	Measures of spread-in-data, the range, interquartile-range, standard deviation and variance
•	Box plots
•	Interpreting the standard deviation measure using the rule-of-thumb and Chebyshev’s theorem
________________________________________
WEEK 2
Module 2: Descriptive Measures of Association, Probability, and Statistical Distributions
This module presents the covariance and correlation measures and their respective Excel functions. You get to understand the notion of causation versus correlation. The module then introduces the notion of probability and random variables and starts introducing statistical distributions.

Topics covered include:
•	Measures of association, the covariance and correlation measures; causation versus correlation
•	Probability and random variables; discrete versus continuous data
•	Introduction to statistical distributions
________________________________________
WEEK 3
Module 3: The Normal Distribution
This module introduces the Normal distribution and the Excel function to calculate probabilities and various outcomes from the distribution. 

Topics covered include:
•	Probability density function and area under the curve as a measure of probability
•	The Normal distribution (bell curve), NORM.DIST, NORM.INV functions in Excel
________________________________________
WEEK 4
Module 4: Working with Distributions, Normal, Binomial, Poisson
In this module, you'll see various applications of the Normal distribution. You will also get introduced to the Binomial and Poisson distributions. The Central Limit Theorem is introduced and explained in the context of understanding sample data versus population data and the link between the two.

Topics covered include:
•	Various applications of the Normal distribution
•	The Binomial and Poisson distributions
•	Sample versus population data; the Central Limit Theorem",[],"['English', 'Shareable Certificate', 'Course 2 of 5 in the', 'Flexible deadlines', '100% online']",Approx. 21 hours to complete
26,/learn/healthcare-data-quality-governance,Healthcare Data Quality and Governance,"University of California, Davis",4.5,"8,837 recent views",39 ratings,8,"Career prospects are bright for those qualified to work with healthcare data or as Health Information Management (HIM) professionals. Perhaps you work in data analytics but are considering a move into healthcare, or you work in healthcare but are considering a transition into a new role. In either case, Healthcare Data Quality and Governance will provide insight into how valuable data assets are protected to maintain data quality. This serves care providers, patients, doctors, clinicians, and those who carry out the business of improving health outcomes. ""Big Data"" makes headlines, but that data must be managed to maintain quality. High-quality data is one of the most valuable assets gathered and used by any business. This holds greater significance in healthcare where the maintenance and governance of data quality directly impact people’s lives. This course will explain how data quality is improved and maintained. You’ll learn why data quality matters, then see how healthcare professionals monitor, manage and improve data quality. You’ll see how human and computerized systems interact to sustain data quality through data governance. You’ll discover how to measure data quality with metadata, tracking data provenance, validating and verifying data, along with a communication framework commonly used in healthcare settings. 

This knowledge matters because high-quality data will be transformed into valuable insights that can save lives, reduce costs, to improve healthcare and make it more accessible and affordable. You will make yourself more of an asset in the healthcare field by what you gain from this course.",[],"['English', 'Course 3 of 4 in the', 'Shareable Certificate', 'Flexible deadlines', '100% online']",Approx. 12 hours to complete
